query	target	pident	fident	alnlen	mismatch	gapopen	qstart	qend	qlen	qcov	tstart	tend	tlen	tcov	evalue	bits	prob	lddt	alntmscore
1_4r0e_polio_rdrp	CF-AAA46912.1.11_10558_relaxed	98.200	0.982	461	8	0	1	461	461	1.000	1	461	461	1.000	3.254E-83	3514	1.000	9.716E-01	9.944E-01
1_4r0e_polio_rdrp	CF-AAQ02679.1.11_10566_relaxed	98.400	0.984	461	7	0	1	461	461	1.000	1	461	461	1.000	3.628E-83	3512	1.000	9.716E-01	9.943E-01
1_4r0e_polio_rdrp	CF-AAQ02682.1.11_10568_relaxed	96.900	0.969	461	14	0	1	461	461	1.000	1	461	461	1.000	3.628E-83	3512	1.000	9.714E-01	9.945E-01
1_4r0e_polio_rdrp	CF-AAQ02676.1.11_10563_relaxed	98.000	0.980	461	9	0	1	461	461	1.000	1	461	461	1.000	5.605E-83	3503	1.000	9.712E-01	9.941E-01
1_4r0e_polio_rdrp	CF-AAQ02677.1.11_10564_relaxed	98.200	0.982	461	8	0	1	461	461	1.000	1	461	461	1.000	6.598E-83	3500	1.000	9.709E-01	9.943E-01
1_4r0e_polio_rdrp	CF-CAA25246.1.11_10559_relaxed	97.800	0.978	461	10	0	1	461	461	1.000	1	461	461	1.000	8.659E-83	3498	1.000	9.711E-01	9.955E-01
1_4r0e_polio_rdrp	CF-ABU41835.1.11_10574_relaxed	96.300	0.963	461	17	0	1	461	461	1.000	1	461	461	1.000	1.076E-82	3491	1.000	9.703E-01	9.947E-01
1_4r0e_polio_rdrp	CF-CAA24465.1.10_10557_relaxed	98.400	0.984	461	7	0	1	461	461	1.000	1	461	461	1.000	1.338E-82	3490	1.000	9.718E-01	9.948E-01
1_4r0e_polio_rdrp	CF-ABM54551.1.11_10571_relaxed	97.300	0.973	461	12	0	1	461	461	1.000	1	461	461	1.000	1.413E-82	3488	1.000	9.716E-01	9.946E-01
1_4r0e_polio_rdrp	CF-CAA25444.1.11_10561_relaxed	97.600	0.976	461	11	0	1	461	461	1.000	1	461	461	1.000	2.713E-82	3476	1.000	9.712E-01	9.946E-01
1_4r0e_polio_rdrp	CF-AAQ02684.1.10_10569_relaxed	97.800	0.978	461	10	0	1	461	461	1.000	1	461	461	1.000	2.713E-82	3475	1.000	9.705E-01	9.950E-01
1_4r0e_polio_rdrp	CF-ABU41836.1.11_10575_relaxed	97.300	0.973	461	12	0	1	461	461	1.000	1	461	461	1.000	3.759E-82	3472	1.000	9.716E-01	9.952E-01
1_4r0e_polio_rdrp	CF-AAQ02680.1.11_10565_relaxed	98.400	0.984	461	6	1	1	461	461	1.000	1	460	460	1.000	2.569E-82	3468	1.000	9.668E-01	9.943E-01
1_4r0e_polio_rdrp	CF-AAQ02676.1.1.10_10563_relaxed	98.200	0.982	452	8	0	10	461	461	0.980	2	453	453	0.998	2.662E-81	3407	1.000	9.562E-01	9.941E-01
1_4r0e_polio_rdrp	CF-CAA24465.1.8_10557_relaxed	98.400	0.984	460	7	0	2	461	461	0.998	294	753	753	0.611	9.299E-81	3402	1.000	9.658E-01	9.946E-01
1_4r0e_polio_rdrp	CF-AAQ02684.1.1.10_10569_relaxed	98.000	0.980	452	9	0	10	461	461	0.980	2	453	453	0.998	4.343E-81	3399	1.000	9.562E-01	9.944E-01
1_4r0e_polio_rdrp	CF-AAA46912.1.1.10_10558_relaxed	98.200	0.982	452	8	0	10	461	461	0.980	2	453	453	0.998	9.299E-81	3389	1.000	9.575E-01	9.953E-01
1_4r0e_polio_rdrp	CF-CAA24465.1.9_10557_relaxed	98.400	0.984	460	7	0	2	461	461	0.998	185	644	644	0.714	1.691E-80	3388	1.000	9.636E-01	9.947E-01
1_4r0e_polio_rdrp	CF-ABM54551.1.1.10_10571_relaxed	97.300	0.973	452	12	0	10	461	461	0.980	2	453	453	0.998	1.220E-80	3383	1.000	9.577E-01	9.945E-01
1_4r0e_polio_rdrp	CF-AAQ02682.1.1.10_10568_relaxed	97.100	0.971	452	13	0	10	461	461	0.980	2	453	453	0.998	1.885E-80	3374	1.000	9.569E-01	9.945E-01
1_4r0e_polio_rdrp	CF-CAA24465.1.1.10_10557_relaxed	98.400	0.984	452	7	0	10	461	461	0.980	2	453	453	0.998	1.885E-80	3374	1.000	9.565E-01	9.951E-01
1_4r0e_polio_rdrp	CF-CAA25246.1.9_10559_relaxed	97.800	0.978	460	10	0	2	461	461	0.998	294	753	753	0.611	4.262E-80	3374	1.000	9.654E-01	9.946E-01
1_4r0e_polio_rdrp	CF-AAQ02677.1.1.10_10564_relaxed	98.400	0.984	452	7	0	10	461	461	0.980	2	453	453	0.998	1.991E-80	3373	1.000	9.567E-01	9.951E-01
1_4r0e_polio_rdrp	CF-CAA25246.1.1.10_10559_relaxed	98.000	0.980	452	9	0	10	461	461	0.980	2	453	453	0.998	1.786E-80	3373	1.000	9.556E-01	9.950E-01
1_4r0e_polio_rdrp	CF-CAA24461.1.1.10_10556_relaxed	99.300	0.993	452	3	0	10	461	461	0.980	2	453	453	0.998	2.475E-80	3370	1.000	9.569E-01	9.951E-01
1_4r0e_polio_rdrp	CF-CAA25444.1.1.10_10561_relaxed	97.500	0.975	452	11	0	10	461	461	0.980	2	453	453	0.998	2.344E-80	3367	1.000	9.547E-01	9.948E-01
1_4r0e_polio_rdrp	CF-AAQ02679.1.1.10_10566_relaxed	98.400	0.984	452	7	0	10	461	461	0.980	2	453	453	0.998	2.759E-80	3366	1.000	9.562E-01	9.948E-01
1_4r0e_polio_rdrp	CF-AAA46914.1.1.10_10560_relaxed	97.500	0.975	452	11	0	10	461	461	0.980	2	453	453	0.998	2.613E-80	3365	1.000	9.548E-01	9.948E-01
1_4r0e_polio_rdrp	CF-CAA25246.1.10_10559_relaxed	97.800	0.978	460	10	0	2	461	461	0.998	185	644	644	0.714	5.907E-80	3365	1.000	9.633E-01	9.947E-01
1_4r0e_polio_rdrp	CF-ABU41836.1.1.10_10575_relaxed	97.300	0.973	452	12	0	10	461	461	0.980	2	453	453	0.998	3.248E-80	3363	1.000	9.559E-01	9.946E-01
1_4r0e_polio_rdrp	CF-ABU41835.1.1.10_10574_relaxed	96.200	0.962	452	17	0	10	461	461	0.980	2	453	453	0.998	5.907E-80	3349	1.000	9.547E-01	9.942E-01
1_4r0e_polio_rdrp	CF-AAQ02681.1.11_10567_relaxed	87.400	0.874	461	58	0	1	461	461	1.000	1	461	461	1.000	3.187E-79	3342	1.000	9.675E-01	9.946E-01
1_4r0e_polio_rdrp	CF-AGH70290.1.11_10579_relaxed	87.600	0.876	461	57	0	1	461	461	1.000	1	461	461	1.000	4.664E-79	3335	1.000	9.679E-01	9.943E-01
1_4r0e_polio_rdrp	CF-AAQ02683.1.11_10570_relaxed	87.200	0.872	461	59	0	1	461	461	1.000	1	461	461	1.000	5.490E-79	3333	1.000	9.686E-01	9.944E-01
1_4r0e_polio_rdrp	CF-AAQ02675.1.11_10562_relaxed	87.400	0.874	461	58	0	1	461	461	1.000	1	461	461	1.000	7.608E-79	3326	1.000	9.677E-01	9.945E-01
1_4r0e_polio_rdrp	CF-AAQ02680.1.1.10_10565_relaxed	98.400	0.984	452	6	1	10	461	461	0.980	2	452	452	0.998	1.850E-79	3325	1.000	9.537E-01	9.930E-01
1_4r0e_polio_rdrp	CF-ABM54550.1.11_10573_relaxed	87.200	0.872	461	59	0	1	461	461	1.000	1	461	461	1.000	1.113E-78	3321	1.000	9.684E-01	9.946E-01
1_4r0e_polio_rdrp	CF-ADK22846.1.11_10578_relaxed	82.600	0.826	461	80	0	1	461	461	1.000	1	461	461	1.000	1.175E-78	3319	1.000	9.677E-01	9.947E-01
1_4r0e_polio_rdrp	CF-AFV92902.1.11_10582_relaxed	82.800	0.828	460	79	0	1	460	461	0.998	1	460	460	1.000	3.303E-78	3297	1.000	9.651E-01	9.957E-01
1_4r0e_polio_rdrp	CF-AFR46521.1.11_10581_relaxed	85.400	0.854	461	67	0	1	461	461	1.000	1	461	461	1.000	3.888E-78	3297	1.000	9.681E-01	9.942E-01
1_4r0e_polio_rdrp	CF-AFS33290.1.11_10577_relaxed	82.200	0.822	461	82	0	1	461	461	1.000	1	461	461	1.000	1.782E-77	3268	1.000	9.666E-01	9.951E-01
1_4r0e_polio_rdrp	CF-AAQ02683.1.1.10_10570_relaxed	86.900	0.869	452	59	0	10	461	461	0.980	2	453	453	0.998	2.754E-77	3239	1.000	9.548E-01	9.944E-01
1_4r0e_polio_rdrp	CF-ABM54550.1.1.10_10573_relaxed	87.100	0.871	452	58	0	10	461	461	0.980	2	453	453	0.998	2.908E-77	3239	1.000	9.546E-01	9.946E-01
