query	target 	#match	Len	#mismatch	#gapOpen	qstart	qend	tstart	tend	eval	score
4r0e_polio_rdrp	CAA25246.1.9_10559	0.590	753	9	0	9	461	301	753	3.59E-89	475.2
4r0e_polio_rdrp	CAA24465.1.8_10557	0.591	753	7	0	10	461	302	753	2.67E-87	465.6
4r0e_polio_rdrp	ABM54551.1.11_10571	0.974	461	12	0	1	461	1	461	4.21E-82	439.0
4r0e_polio_rdrp	CAA24465.1.1.10_10557	0.980	453	7	0	11	461	3	453	5.56E-80	428.1
4r0e_polio_rdrp	CAA24465.1.10_10557	0.983	461	7	0	2	461	2	461	1.92E-79	425.4
4r0e_polio_rdrp	CAA25444.1.11_10561	0.974	461	11	0	2	461	2	461	9.07E-79	421.9
4r0e_polio_rdrp	AAQ02677.1.11_10564	0.980	461	8	0	2	461	2	461	1.17E-78	421.4
4r0e_polio_rdrp	ADK22846.1.11_10578	0.824	461	80	0	2	461	2	461	2.08E-78	420.1
4r0e_polio_rdrp	AAQ02676.1.11_10563	0.978	461	9	0	2	461	2	461	2.47E-78	419.7
4r0e_polio_rdrp	AAQ02677.1.1.10_10564	0.980	453	7	0	11	461	3	453	3.03E-78	419.2
4r0e_polio_rdrp	AAA46912.1.11_10558	0.983	461	8	0	1	461	1	461	4.37E-78	418.4
4r0e_polio_rdrp	CAA24461.1.1.10_10556	0.989	453	3	0	11	461	3	453	1.22E-77	416.2
4r0e_polio_rdrp	AAQ02680.1.1.10_10565	0.980	453	6	0	12	461	4	453	1.25E-77	416.1
4r0e_polio_rdrp	AAQ02684.1.10_10569	0.976	461	10	0	2	461	2	461	1.35E-77	415.9
4r0e_polio_rdrp	AAA46912.1.1.10_10558	0.978	453	8	0	11	461	3	453	1.45E-77	415.8
4r0e_polio_rdrp	ABU41836.1.11_10575	0.972	461	12	0	2	461	2	461	1.85E-77	415.2
4r0e_polio_rdrp	ABU41835.1.11_10574	0.961	461	17	0	2	461	2	461	2.04E-77	415.0
4r0e_polio_rdrp	AAQ02680.1.11_10565	0.985	461	6	0	2	461	2	461	2.09E-77	414.9
4r0e_polio_rdrp	AAQ02682.1.11_10568	0.970	461	14	0	1	461	1	461	3.70E-77	413.7
4r0e_polio_rdrp	AGH70290.1.11_10579	0.874	461	57	0	2	461	2	461	3.86E-77	413.6
4r0e_polio_rdrp	AAQ02679.1.11_10566	0.983	461	7	0	2	461	2	461	5.44E-77	412.8
