hallmark,cluster_id,structure_representative,cluster_member,protlen,plddt,ptm,ictv_sort,ictv_realm,ictv_family,ictv_species,genbank_name,foldseek
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAX47043.1.11_10545_relaxed,462,96.4,0.94,10545,Riboviria,Picornaviridae,Enterovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABK41188.1.11_10539_relaxed,462,96.5,0.94,10539,Riboviria,Picornaviridae,Enterovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACZ67658.1.11_10757_relaxed,460,95.7,0.93,10757,Riboviria,Picornaviridae,Rhinovirus C,Polymerase,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AGH70290.1.11_10579_relaxed,461,96.4,0.94,10579,Riboviria,Picornaviridae,Enterovirus C,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AFQ62099.1.1.10_10580_relaxed,453,96.1,0.94,10580,Riboviria,Picornaviridae,Enterovirus C,"RNA-dependent RNA polymerase (RdRp) in the Enterovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23213",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABU41835.1.1.10_10574_relaxed,453,95.8,0.94,10574,Riboviria,Picornaviridae,Enterovirus C,"RNA-dependent RNA polymerase (RdRp) in the Enterovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23213",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AWK02671.1.1.7_10800_relaxed,454,95.2,0.94,10800,Riboviria,Picornaviridae,Parabovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47695.1.1.8_10804_relaxed,447,95.7,0.94,10804,Riboviria,Picornaviridae,Parabovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37425.1.1.10_10734_relaxed,451,95.6,0.94,10734,Riboviria,Picornaviridae,Rhinovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABF51202.1.1.11_10653_relaxed,451,95.3,0.94,10653,Riboviria,Picornaviridae,Rhinovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37410.1.11_10693_relaxed,460,95.7,0.93,10693,Riboviria,Picornaviridae,Rhinovirus A,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37431.1.11_10704_relaxed,460,95.7,0.94,10704,Riboviria,Picornaviridae,Rhinovirus A,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37411.1.11_10729_relaxed,460,96.4,0.94,10729,Riboviria,Picornaviridae,Rhinovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AFK79845.1.11_10781_relaxed,460,96.1,0.94,10781,Riboviria,Picornaviridae,Rhinovirus C,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AFS33290.1.11_10577_relaxed,461,96.4,0.94,10577,Riboviria,Picornaviridae,Enterovirus C,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAQ73082.1.11_10501_relaxed,462,96.4,0.94,10501,Riboviria,Picornaviridae,Enterovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACJ66736.1.11_10625_relaxed,462,96.6,0.94,10625,Riboviria,Picornaviridae,Enterovirus J,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-CAA56365.1.11_10508_relaxed,462,96.2,0.94,10508,Riboviria,Picornaviridae,Enterovirus B,Unnamed,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACG63545.1.12_10816_relaxed,466,96.7,0.94,10816,Riboviria,Picornaviridae,Sapelovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37408.1.1.10_10688_relaxed,451,95.5,0.94,10688,Riboviria,Picornaviridae,Rhinovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37408.1.11_10688_relaxed,459,95.8,0.94,10688,Riboviria,Picornaviridae,Rhinovirus A,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-BAA18891.1.15_10585_relaxed,457,96.1,0.94,10585,Riboviria,Picornaviridae,Enterovirus D,RNA polymerase 3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABO69371.1.1.11_10641_relaxed,451,95.4,0.93,10641,Riboviria,Picornaviridae,Rhinovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABF51201.1.1.10_10672_relaxed,451,95.4,0.94,10672,Riboviria,Picornaviridae,Rhinovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AEG75268.1.1.11_10707_relaxed,451,95.1,0.94,10707,Riboviria,Picornaviridae,Rhinovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAQ02679.1.11_10566_relaxed,461,96.4,0.94,10566,Riboviria,Picornaviridae,Enterovirus C,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACK37411.1.1.10_10729_relaxed,451,95.5,0.94,10729,Riboviria,Picornaviridae,Rhinovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABO69373.1.1.10_10683_relaxed,452,95.2,0.93,10683,Riboviria,Picornaviridae,Rhinovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABF51185.1.11_10664_relaxed,460,95.6,0.93,10664,Riboviria,Picornaviridae,Rhinovirus A,3D (polymerase),cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAQ02680.1.11_10565_relaxed,461,96.4,0.94,10565,Riboviria,Picornaviridae,Enterovirus C,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAQ73087.1.1.10_10521_relaxed,454,95.8,0.94,10521,Riboviria,Picornaviridae,Enterovirus B,"RNA-dependent RNA polymerase (RdRp) in the Enterovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23213",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAQ73077.1.11_10511_relaxed,462,96.4,0.94,10511,Riboviria,Picornaviridae,Enterovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47699.1.1.6_10858_relaxed,458,95.6,0.94,10858,Riboviria,Picornaviridae,Aichivirus A,"RNA-dependent RNA polymerase (RdRp) in the Kobuvirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23214",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AHH02469.1.1.6_10866_relaxed,458,95.5,0.93,10866,Riboviria,Picornaviridae,Aichivirus C,"RNA-dependent RNA polymerase (RdRp) in the Kobuvirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23214",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AGC69961.1.1.7_10367_relaxed,461,96.1,0.93,10367,Riboviria,Picornaviridae,Cardiovirus C,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AWK02683.1.1.7_10369_relaxed,461,96.1,0.93,10369,Riboviria,Picornaviridae,Cardiovirus C,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABB76805.1.1.7_10349_relaxed,455,94.4,0.93,10349,Riboviria,Picornaviridae,Equine rhinitis A virus,RNA-dependent RNA polymerase (RdRp) in the Aphthovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses; cd23210,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47702.1.1.6_10438_relaxed,465,96.0,0.94,10438,Riboviria,Picornaviridae,Mupivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABB76805.1.12_10349_relaxed,464,95.2,0.93,10349,Riboviria,Picornaviridae,Equine rhinitis A virus,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-CAA65615.1.9_10415_relaxed,468,94.3,0.93,10415,Riboviria,Picornaviridae,Erbovirus A,3D (RNA polymerase),cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAK91591.1.12_10416_relaxed,468,94.0,0.92,10416,Riboviria,Picornaviridae,Erbovirus A,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35274.1.1.6_10832_relaxed,458,95.2,0.94,10832,Riboviria,Picornaviridae,Hepatovirus E,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35273.1.1.6_10835_relaxed,463,94.7,0.93,10835,Riboviria,Picornaviridae,Hepatovirus G,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALR95870.1.1.6_10839_relaxed,462,94.6,0.93,10839,Riboviria,Picornaviridae,Hepatovirus H,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AMQ25905.1.1.6_10834_relaxed,464,94.8,0.94,10834,Riboviria,Picornaviridae,Hepatovirus F,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35267.1.1.6_10833_relaxed,464,94.7,0.94,10833,Riboviria,Picornaviridae,Hepatovirus F,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
