Sort,nt_acc,genome_segment_length_bp
11504,FM995220.1,3334.0
10459,AY563023.1,8289.0
10363,M80888.1,966.0
11499,AJ459382.1,3429.0
10906,KF387721.1,7807.0
11505,AJ920335.1,3579.0
9614,MW685616.1,29782.0
11768,AF033819.3,9181.0
4989,J02275.1,5149.0
12044,U19239.1,4000.0
11911,KP056312.1,107772.0
10349,DQ272578.1,7782.0
10416,AF361253.1,8821.0
10415,X96871.1,8828.0
12736,AM850131.1,15810.0
10154,KF430219.1,28035.0
10975,LT898422.1,6905.0
10972,JQ316470.1,6916.0
10938,JX134222.1,8050.0
10155,MN611525.1,28169.0
10167,MK472068.1,27435.0
10353,DQ533483.2,8193.0
10246,KJ541759.1,33452.0
10408,FJ438908.1,7215.0
10407,FJ438907.1,7205.0
10413,FJ555055.1,6580.0
10162,HM245925.1,28941.0
10386,FJ438906.1,2263.0
10385,FJ438904.1,6431.0
10976,KC843627.1,7539.0
10384,FJ438903.1,7335.0
9040,KJ432573.1,11284.0
10383,FJ438902.1,7632.0
10457,KM873611.1,7093.0
10253,MN161561.1,27270.0
10203,JQ065047.1,26077.0
10210,MK611985.1,36652.0
10977,MK189163.1,8532.0
10458,LC113907.1,7062.0
10960,KT319121.2,7077.0
10250,KX184715.1,23832.0
10951,EU716175.1,7353.0
10927,KC614703.1,7373.0
10375,FJ463617.1,7410.0
136,KJ705001.1,144898.0
10374,FJ463615.1,7627.0
10371,EU376394.1,7961.0
10370,EF165067.2,8115.0
10362,M16020.1,8098.0
10944,S45208.1,7339.0
10945,AJ005695.1,7348.0
10946,AB084913.1,7321.0
10947,DQ315670.1,7366.0
10948,AF055846.1,7352.0
10949,AB252582.1,7347.0
10343,JN936206.1,7250.0
10950,EU556224.1,7146.0
10431,KP100644.1,8096.0
10342,KP236128.1,7245.0
10429,JQ814851.1,8468.0
10359,JX257003.1,7606.0
12736,AM850133.1,17677.0
10199,JQ065049.1,26223.0
10663,FJ445129.1,7138.0
10655,DQ473512.1,7099.0
10675,FJ445140.1,7136.0
10699,DQ473504.1,7143.0
10664,DQ473491.1,7145.0
10676,FJ445141.1,7134.0
10669,DQ473496.1,7106.0
10703,FJ445171.1,7134.0
10682,FJ445146.1,7141.0
10638,FJ445177.1,7132.0
10639,DQ473498.1,7137.0
10658,FJ445128.1,7133.0
10704,FJ445175.1,7140.0
10653,DQ473508.1,7148.0
10637,FJ445113.1,7108.0
10693,FJ445154.1,7136.0
10677,FJ445142.1,7140.0
10815,AY064708.1,8126.0
10827,M14707.1,7478.0
10645,FJ445118.1,7119.0
10656,FJ445126.1,7131.0
10698,FJ445163.1,7140.0
10673,FJ445138.1,7134.0
10705,GQ415051.1,7130.0
10688,FJ445152.1,7161.0
10680,FJ445144.1,7139.0
10695,FJ445156.1,7138.0
10643,DQ473493.1,7134.0
10706,EF155421.1,7160.0
10681,FJ445145.1,7131.0
10647,FJ445120.1,7163.0
10684,FJ445147.1,7162.0
10633,FJ445111.1,7137.0
10667,DQ473506.1,7149.0
10689,DQ473492.1,7140.0
10654,FJ445125.1,7123.0
10913,KF979332.1,8331.0
10687,FJ445150.1,7164.0
10168,KJ473809.1,27783.0
10634,D00239.1,7133.0
10668,FJ445133.1,7132.0
10650,DQ473497.1,7025.0
10646,FJ445119.1,7135.0
10701,FJ445167.1,7124.0
10635,X02316.1,7102.0
10692,DQ473502.1,7129.0
10690,DQ473494.1,7120.0
10686,FJ445149.1,7135.0
10674,DQ473511.1,7036.0
10636,DQ473503.1,7146.0
10418,JQ941880.1,7583.0
10691,DQ473510.1,7137.0
10685,FJ445148.1,7139.0
10660,DQ473505.1,7141.0
10419,HM153767.3,7588.0
10928,KF979333.1,7310.0
11947,MF599468.1,165809.0
7118,D17763.1,9456.0
10666,FJ445132.1,7114.0
10700,M16248.1,7152.0
10670,FJ445135.1,7118.0
10665,FJ445131.1,7129.0
10696,FJ445157.1,7116.0
10190,MG693168.1,28975.0
10649,FJ445122.1,7129.0
10678,DQ473500.1,7135.0
10652,FJ445123.1,7126.0
10174,EF203064.1,27165.0
10158,KJ473807.1,27608.0
10672,DQ473507.1,7143.0
10648,FJ445121.1,7134.0
10708,JN562727.1,6843.0
10440,AJ011380.1,7117.0
10661,DQ473495.1,7136.0
10710,JQ245971.1,7127.0
10657,FJ445127.1,7133.0
10659,DQ473501.1,7119.0
10709,JN614995.1,6709.0
10671,FJ445136.1,7152.0
10679,FJ445143.1,7139.0
10697,DQ473509.1,7129.0
10707,JF965515.1,7168.0
10642,FJ445116.1,7140.0
10183,AY700211.1,31335.0
10541,AY843304.1,7400.0
10566,AF499639.1,7457.0
10208,KR902510.1,27464.0
10252,MN161566.1,27281.0
10178,KY967715.1,25984.0
10171,MK472067.1,28170.0
10814,AF406813.1,7491.0
10746,EF582385.1,7099.0
10536,AY843299.1,7415.0
10177,KY370053.1,27102.0
10539,DQ902712.1,7423.0
10538,AY843301.1,7394.0
10608,KT265911.2,7232.0
10540,AY843303.1,7418.0
10247,MF351889.1,32399.0
10537,AY843300.1,7427.0
10579,KC344833.1,7318.0
10175,AY567487.2,27553.0
10197,JQ065048.1,26227.0
10173,DQ648858.1,28203.0
10170,MG923574.2,28045.0
10184,KY370046.1,31393.0
10529,AF241359.1,7411.0
10207,M95169.1,27608.0
10578,GQ865517.1,7354.0
10179,AJ271965.2,28586.0
10626,AF414372.2,7383.0
10206,KF793824.1,31769.0
10765,KJ675506.1,7112.0
10577,JX393302.1,7309.0
10745,EF186077.2,7134.0
10764,KJ675507.1,7090.0
10535,AY843298.1,7428.0
10534,AY843297.1,7430.0
10238,GU002364.2,27318.0
10532,AJ493062.2,7415.0
10531,AY556070.1,7429.0
10625,FJ007373.1,7355.0
10530,AY556057.1,7410.0
10542,AY843305.1,7422.0
10624,AF326766.2,7351.0
10568,AF499642.1,7436.0
10176,KY073745.1,28679.0
10209,KM454473.1,27754.0
10556,V01149.1,7440.0
10555,AF326751.2,7378.0
10172,AF353511.1,28033.0
10621,AF326759.2,7295.0
10569,AF546702.1,7406.0
10552,KF312882.1,7428.0
10583,AY426531.1,7367.0
10180,AY585228.1,30741.0
10550,AB426609.1,7423.0
8945,KJ179955.1,11072.0
10195,MN908947.3,29903.0
10617,KY761948.1,7981.0
10181,KM349742.1,31249.0
10585,D00820.1,7390.0
10561,X00925.1,7432.0
10749,DQ875932.2,7072.0
10562,AF499635.1,7397.0
10806,KP233897.1,7853.0
10752,GQ323774.1,7010.0
10558,M12197.1,7440.0
10747,EF582386.1,7114.0
10573,EF015886.1,7478.0
10816,EU789367.1,7971.0
10586,DQ916376.1,7364.0
10574,EF555644.1,7447.0
10581,JX262382.1,7363.0
10545,AY843307.1,7413.0
10757,GU219984.1,7119.0
10929,KF979334.1,7167.0
10546,AB426608.1,7422.0
10564,AF499637.1,7458.0
10567,AF499641.1,7410.0
10609,KT265961.2,7220.0
10565,AF499640.1,7458.0
10543,AY843306.1,7433.0
10194,KY352407.1,29274.0
10748,EF582387.1,7086.0
10582,JX961708.1,7357.0
10570,AF499643.1,7406.0
10182,AY597011.2,29926.0
10603,HQ702854.1,7391.0
10785,JN815249.1,6734.0
10563,AF499636.1,7453.0
10571,EF026081.1,7459.0
10548,AY843308.1,7445.0
10547,DQ902713.1,7421.0
10205,EU111742.1,31686.0
10791,JN798566.1,6801.0
10163,EU420138.1,28326.0
10797,KP890662.1,7073.0
10153,MT663548.1,29097.0
10512,AY302541.1,7437.0
10792,KF688606.1,6928.0
10468,AY421761.1,7395.0
10467,AY421760.1,7398.0
10493,M16560.1,7389.0
10164,EU420139.1,28773.0
10511,AY302540.1,7450.0
10201,FJ376622.1,26552.0
10510,AY302539.1,7410.0
10160,JX503061.1,27208.0
10188,EF065509.1,30482.0
10509,X79047.1,7501.0
10491,AF326750.2,7389.0
10513,AY302542.1,7437.0
10191,KU762338.1,30161.0
10202,JQ065044.1,26041.0
10193,AY274119.3,29751.0
10501,AY302545.1,7435.0
10187,JX869059.2,30119.0
10782,JN815251.1,6613.0
10470,AY421763.1,7400.0
10469,AY421762.1,7434.0
10471,AY421764.1,7434.0
10514,AY302543.1,7416.0
10508,X80059.1,7438.0
10159,AF304460.1,27317.0
10499,AF029859.2,7397.0
10189,EF065505.1,30286.0
10783,KF958311.1,7115.0
10200,JQ065043.2,25425.0
10502,AY302553.1,7428.0
10157,JQ989270.1,28494.0
10498,D00627.1,7452.0
10507,X84981.1,7420.0
10506,AY302559.1,7427.0
10156,MK472070.1,28009.0
10503,AY302557.1,7394.0
10505,AY302558.1,7418.0
10472,AY421765.1,7404.0
10525,AY302554.1,7432.0
10192,EF065513.1,29114.0
10186,KC545383.1,30148.0
10523,AY302552.1,7427.0
10480,AY697459.1,7429.0
10161,KF294380.2,28763.0
10165,KJ473806.1,27935.0
10479,AY697458.1,7438.0
10204,MK359255.1,28539.0
10522,AY302551.1,7412.0
10521,AY302550.1,7424.0
10484,KU355876.1,7317.0
10483,EF667344.1,7379.0
10520,AY302549.1,7426.0
10526,AY302555.1,7420.0
10169,MH938449.1,28128.0
10185,KF636752.1,31491.0
10528,AY302560.1,7411.0
10482,AY697461.1,7427.0
