hallmark,viro3d,cluster,network
1_4r0e_polio_rdrp,1449,2239,2609
2_1hmv_hiv_rt_p66,118,118,122
3_2py5_phi29_pPolB,542,555,658
6c_8e86_polio_vp3_sjr,1932,1961,2359
7_6b1t_adeno_hexon_djr,204,194,313
8b_6lgl_vzv_hk97,118,119,119
RSV_F_6APB_A_MODEL_1,234,244,259
Spondweni_E_6ZQI_A_MODEL_1,596,582,672
HCMV_Gb_7KDP_A_MODEL_1,273,174,513
