acc,seg,Sort
DQ665917,,33
DQ665652,,34
KX832224,,35
FJ940765,,36
JQ815363,,37
JQ815364,,38
DQ657948,,39
FJ815289,,40
M75136,,41
MG271984,,42
AF023673,,43
EU349274,,44
EU349277,,45
JX453331,,46
AY509253,,47
MK360902,,48
JN596962,,49
AY372243,,50
MK955929,,51
JF999965,,52
KX589235,,53
AF243438,,54
HQ840738,,55
AF291866,,56
LT608135,,57
HQ878327,,58
KM924292,,59
KY385637,,60
MT862163,,61
AY714813,,62
JN555585,,63
JN561323,,64
JQ596859,,65
AF533768,,66
KY628968,,67
KY628970,,68
KT594769,,69
MT900475,,70
MT900474,,71
JQ360576,,72
DQ149153,,73
AB825953,,74
LC492974,,75
HM625781,,76
JX898220,,77
AY261359,,78
KU936049,,79
KT819633,,80
MG989243,,81
AF275348,,82
MH036942,,83
MH036943,,84
MH036941,,85
AY665713,,86
KM051845,,87
AF030027,,88
MT012704,,89
MF431611,,90
AP010838,,91
FJ478159,,92
X04370,,93
MF678601,,94
MH509440,,95
JF797218,,96
FJ483970,,97
JQ264772,,98
FJ483968,,99
AY446894,,100
AY186194,,101
JN227533,,102
KR297253,,103
AF480884,,104
AC090446,,105
KR351281,,106
FJ483967,,107
GU305914,,108
AF232689,,109
JX867617,,110
KC462165,,111
MN373268,,112
KT832477,,113
KF921519,,114
KC503762,,115
JQ805139,,116
AF281817,,117
X83413,,118
AF157706,,119
AF037218,,120
KU351741,,121
KY355735,,122
KF017583,,123
KY965444,,124
AF319782,,125
AJ581752,,126
AJ507799,,127
KP676001,,128
MG471437,,129
AY037858,,130
AJ581751,,131
AJ581750,,132
AJ581753,,133
AF005370,,134
KF274499,,135
KJ705001,,136
AF283477,,137
DQ083950,,138
AY839756,,139
AF478169,,140
AY170317,,141
AY170316,,142
MG452722,,143
MG452721,,144
MF385016,,145
U20824,,146
KM924295,,147
KT595939,,148
AF376034,,149
KP136799,,150
LC333428,,151
KU220026,,152
M22036,,153
AF083424,,154
AF318573,,155
MH932584,,156
HQ221963,,157
AF148805,,158
AY528864,,159
KP265674,,160
AF083501,,161
KF703446,,162
U97553,,163
GQ169129,,164
X64346,,165
EU623082,A,4369
EU623083,B,4369
AB972940,,4370
MG654476,,4371
JX159987,,4372
MK671087,,4373
JX520659,,4374
JQ958889,,4375
AB767298,,4376
AB972945,,4377
JX520660,,4378
HQ385752,,4379
JX159986,,4380
JX036360,,4381
LC185213,,4382
JQ958893,,4383
AF442959,,4384
HQ696595,,4385
GU989205,,4386
JX520664,,4387
AB767294,,4388
FR692334,,4389
MG654482,,4390
KX509984,,4391
JX159984,,4392
FN356901,,4393
FN356900,,4394
JQ178241,,4395
AB972944,,4396
KY404016,,4397
JX159980,,4398
HM011556,,4399
JX159981,,4400
KR075943,,4401
MF374997,,4402
JQ958886,,4403
JX520658,,4404
MG701350,,4405
LC185216,,4406
HQ385746,,4407
JX159983,,4408
JX159982,,4409
MF374999,,4410
MF401583,,4411
JQ958888,,4412
KR065722,,4413
KF954417,,4414
JQ958890,,4415
AB767297,,4416
MN417229,,4417
HQ385748,,4418
MK443498,,4419
MG721015,,4420
JQ958887,,4421
JX159988,,4422
MK883808,,4423
KY341899,,4424
JX159985,,4425
JQ958892,,4426
KF147833,,4427
KM282376,,4428
JQ412134,,4429
MG701352,,4430
V01108,,4431
MN994868,,4432
KX533457,,4433
J02400,,4434
JX520661,,4435
KR612373,,4436
AB588640,,4437
KP644238,,4438
KR612368,,4439
FJ188392,,4440
KT884050,,4441
MG701353,,4442
JX520662,,4443
JQ958891,,4444
EF444549,,4445
LC185218,,4446
AM748741,,4447
JX159989,,4448
MK671101,,4449
AB972941,,4450
AB767299,,4451
AB972947,,4452
J02226,,4453
KT987216,,4454
AB767295,,4455
KX574453,,4456
AB972946,,4457
EF127906,,4458
MF175082,,4459
KU879245,,4460
GQ331138,,4461
KY612371,,4462
MG701355,,4463
JQ898291,,4464
KY549442,,4465
HM011566,,4466
HM011560,,4467
JX463183,,4468
D13942,,4469
MG654479,,4470
MG654481,,4471
KP264963,,4472
AY140894,,4473
AF241168,,4474
DQ192570,,4475
KF360862,,4476
KT302407,,4477
KX756154,,4478
KP033140,,4479
DQ192571,,4480
GU345044,,4481
KP071318,,4482
KX643371,,4483
MG800627,,4484
KP768176,,4485
KC594077,,4486
X74475,,4487
M73236,,4488
X00203,,4489
AF436130,,4490
M14119,,4491
U31788,,4492
X62843,,4493
X62844,,4494
X74476,,4495
X94165,,4496
M60184,,4497
EF558838,,4498
EF558839,,4499
EF558840,,4500
EF558841,,4501
EF558842,,4502
EF558843,,4503
EU490515,,4504
EU490516,,4505
GQ227670,,4506
JF304764,,4507
KT944080,,4508
U37488,,4509
AB040456,,4510
AY057438,,4511
DQ080082,,4512
GU014532,,4513
X74465,,4514
AB745694,,4515
AJ620211,,4516
FN547152,,4517
GQ246950,,4518
KC138720,,4519
U31783,,4520
U31784,,4521
X74462,,4522
Y15175,,4523
U31793,,4524
AF151983,,4525
AF293960,,4526
AF349909,,4527
AF436128,,4528
AJ400628,,4529
AJ620209,,4530
AY395706,,4531
DQ080083,,4532
GQ244463,,4533
X94164,,4534
X55964,,4535
X55965,,4536
X74473,,4537
X74472,,4538
AB027020,,4539
AB027021,,4540
M62877,,4541
X74474,,4542
U31794,,4543
X74482,,4544
X74483,,4545
X05015,,4546
AF131950,,4547
DQ080079,,4548
