header,protein_id,Sort,pept_cat,protlen
CAA52564.1_4563,CAA52564.1,4563,protein,1
AIW68525.1_11911,AIW68525.1,11911,protein,7
AIW68499.1_11911,AIW68499.1,11911,protein,8
AOO54533.1_11976,AOO54533.1,11976,protein,8
AAA67112.1_4989,AAA67112.1,4989,protein,9
AAA73159.1_10363,AAA73159.1,10363,protein,12
AAA67113.1_4989,AAA67113.1,4989,protein,14
AAB39411.1_12044,AAB39411.1,12044,protein,14
AIW68505.1_11911,AIW68505.1,11911,protein,14
AIW68593.1_11911,AIW68593.1,11911,protein,16
CAO98965.1_12736,CAO98965.1,12736,protein,16
AIW68502.1_11911,AIW68502.1,11911,protein,17
AIW61116.1_9040,AIW61116.1,9040,protein,19
AIB03157.1_136,AIB03157.1,136,protein,20
CAO98975.1_12736,CAO98975.1,12736,protein,20
ATE87092.1_11947,ATE87092.1,11947,protein,21
AIL31434.1_8945,AIL31434.1,8945,protein,22
AAA67110.1_4989,AAA67110.1,4989,protein,22
ACJ14503.1_12246,ACJ14503.1,12246,protein,23
AAB59919.1_4434,AAB59919.1,4434,protein,23
AAA66851.1_4627,AAA66851.1,4627,protein,24
QCQ84155.1_12122,QCQ84155.1,12122,protein,24
AIW61114.1_9049,AIW61114.1,9049,protein,24
QSH72963.1_9614,QSH72963.1,9614,protein,25
AEQ32231.1_102,AEQ32231.1,102,protein,29
CAO98964.1_12736,CAO98964.1,12736,protein,29
AOO54307.1_11976,AOO54307.1,11976,protein,29
ACI16485.1_4440,ACI16485.1,4440,protein,30
ABQ43517.1_12028,ABQ43517.1,12028,protein,30
CAD2068367.1_11961,CAD2068367.1,11961,protein,31
ABY73448.1_4809,ABY73448.1,4809,protein,31
CAO98972.1_12736,CAO98972.1,12736,protein,31
ATI21086.1_12001,ATI21086.1,12001,protein,32
AAP33235.1_11910,AAP33235.1,11910,protein,32
AAF14925.1_11997,AAF14925.1,11997,protein,32
AAF17919.1_11998,AAF17919.1,11998,protein,32
ATI21251.1_12000,ATI21251.1,12000,protein,32
AST09260.1_11992,AST09260.1,11992,protein,33
AEN03637.1_11993,AEN03637.1,11993,protein,33
AIW68542.1_11911,AIW68542.1,11911,protein,33
AGL34701.1_12103,AGL34701.1,12103,protein,33
ADG86358.1_9055,ADG86358.1,9055,protein,33
AUD40194.1_11978,AUD40194.1,11978,protein,34
AID46600.1_11983,AID46600.1,11983,protein,34
CAC80274.1_4772,CAC80274.1,4772,protein,34
AIW68589.1_11911,AIW68589.1,11911,protein,34
QCQ84156.1_12122,QCQ84156.1,12122,protein,34
AFB76934.1_12016,AFB76934.1,12016,protein,34
AHB63489.1_10206,AHB63489.1,10206,protein,34
ANK57957.1_11929,ANK57957.1,11929,protein,34
AZM32597.1_11930,AZM32597.1,11930,protein,34
AAF99222.1_109,AAF99222.1,109,protein,34
CAD2068400.1_11961,CAD2068400.1,11961,protein,34
AOC55181.1_11899,AOC55181.1,11899,protein,34
AID46829.1_11982,AID46829.1,11982,protein,34
AOP31547.1_12011,AOP31547.1,12011,protein,35
AKJ93698.1_12010,AKJ93698.1,12010,protein,35
AGT99253.1_123,AGT99253.1,123,protein,35
CAO98971.1_12736,CAO98971.1,12736,protein,35
AVM87314.1_10229,AVM87314.1,10229,protein,35
AOP31758.1_12015,AOP31758.1,12015,protein,35
AAA66847.1_4629,AAA66847.1,4629,protein,35
AAF18047.1_11998,AAF18047.1,11998,protein,35
CAD2068512.1_11961,CAD2068512.1,11961,protein,35
ATI21150.1_12000,ATI21150.1,12000,protein,36
QHR78581.1_11900,QHR78581.1,11900,protein,36
ADD10490.1_108,ADD10490.1,108,protein,36
AJD20120.1_12429,AJD20120.1,12429,protein,36
ASM90780.1_8922,ASM90780.1,8922,protein,36
AAQ91778.1_12319,AAQ91778.1,12319,protein,36
ATI20986.1_12001,ATI20986.1,12001,protein,36
CAD2068359.1_11961,CAD2068359.1,11961,protein,36
AUO14951.1_12445,AUO14951.1,12445,protein,37
AUO15252.1_12445,AUO15252.1,12445,protein,37
AUO15036.1_12445,AUO15036.1,12445,protein,37
CAC80273.1_4772,CAC80273.1,4772,protein,37
CAD2068363.1_11961,CAD2068363.1,11961,protein,37
AUO15075.1_12445,AUO15075.1,12445,protein,37
CAD2068369.1_11961,CAD2068369.1,11961,protein,37
AUO15317.1_12445,AUO15317.1,12445,protein,37
AUO15275.1_12445,AUO15275.1,12445,protein,37
AUO15259.1_12445,AUO15259.1,12445,protein,37
CAD2068344.1_11961,CAD2068344.1,11961,protein,37
AUO15278.1_12445,AUO15278.1,12445,protein,37
CDO33917.1_12115,CDO33917.1,12115,protein,37
AUD40303.1_11978,AUD40303.1,11978,protein,37
AID46702.1_11983,AID46702.1,11983,protein,37
AOC55189.1_11899,AOC55189.1,11899,protein,37
QHR78580.1_11900,QHR78580.1,11900,protein,37
AUO15146.1_12445,AUO15146.1,12445,protein,38
CAD2068365.1_11961,CAD2068365.1,11961,protein,38
AUO15128.1_12445,AUO15128.1,12445,protein,38
AUO15114.1_12445,AUO15114.1,12445,protein,38
AUO15091.1_12445,AUO15091.1,12445,protein,38
QSH72966.1_9614,QSH72966.1,9614,protein,38
AUO15048.1_12445,AUO15048.1,12445,protein,38
AUO14894.1_12445,AUO14894.1,12445,protein,38
QHI42199.1_10195,QHI42199.1,10195,protein,38
CAO98963.1_12736,CAO98963.1,12736,protein,38
AUO14911.1_12445,AUO14911.1,12445,protein,38
AUO15024.1_12445,AUO15024.1,12445,protein,38
AUO15010.1_12445,AUO15010.1,12445,protein,38
AUO15003.1_12445,AUO15003.1,12445,protein,38
AUO14935.1_12445,AUO14935.1,12445,protein,38
AUO14950.1_12445,AUO14950.1,12445,protein,38
AUO14952.1_12445,AUO14952.1,12445,protein,38
AUO14963.1_12445,AUO14963.1,12445,protein,38
AID46934.1_11982,AID46934.1,11982,protein,38
CAD2068371.1_11961,CAD2068371.1,11961,protein,38
AUO15120.1_12445,AUO15120.1,12445,protein,38
AUO15234.1_12445,AUO15234.1,12445,protein,38
AUO15301.1_12445,AUO15301.1,12445,protein,38
AHH82683.1_12333,AHH82683.1,12333,protein,38
AUO15256.1_12445,AUO15256.1,12445,protein,38
AUO15211.1_12445,AUO15211.1,12445,protein,38
AUO15284.1_12445,AUO15284.1,12445,protein,38
AUO15095.1_12445,AUO15095.1,12445,protein,39
AUO14884.1_12445,AUO14884.1,12445,protein,39
QSH72962.1_9614,QSH72962.1,9614,protein,39
AUO15251.1_12445,AUO15251.1,12445,protein,39
AUO15035.1_12445,AUO15035.1,12445,protein,39
QDZ17457.1_12253,QDZ17457.1,12253,protein,39
AAF18003.1_11998,AAF18003.1,11998,protein,39
AUO14980.1_12445,AUO14980.1,12445,protein,39
AUO14974.1_12445,AUO14974.1,12445,protein,39
CAD53411.1_127,CAD53411.1,127,protein,39
QHR78579.1_11900,QHR78579.1,11900,protein,39
AUO15111.1_12445,AUO15111.1,12445,protein,39
AAB39409.1_12044,AAB39409.1,12044,protein,39
AUO15223.1_12445,AUO15223.1,12445,protein,39
AEQ32249.1_102,AEQ32249.1,102,protein,39
QHR78578.1_11900,QHR78578.1,11900,protein,39
ATI20946.1_12001,ATI20946.1,12001,protein,39
AAP41045.1_10193,AAP41045.1,10193,protein,39
AUO14964.1_12445,AUO14964.1,12445,protein,39
AUO15161.1_12445,AUO15161.1,12445,protein,39
AUO15149.1_12445,AUO15149.1,12445,protein,39
AUO15316.1_12445,AUO15316.1,12445,protein,39
AUO15152.1_12445,AUO15152.1,12445,protein,40
AAK82231.1_11950,AAK82231.1,11950,protein,40
AAU10930.1_11898,AAU10930.1,11898,protein,40
AAK82244.1_11950,AAK82244.1,11950,protein,40
AUO15292.1_12445,AUO15292.1,12445,protein,40
ABB92321.1_11926,ABB92321.1,11926,protein,40
AOC55131.1_11899,AOC55131.1,11899,protein,40
AAK82247.1_11950,AAK82247.1,11950,protein,40
AUO15303.1_12445,AUO15303.1,12445,protein,40
AUO15225.1_12445,AUO15225.1,12445,protein,40
AAU11037.1_11898,AAU11037.1,11898,protein,40
AAU10909.1_11898,AAU10909.1,11898,protein,40
AUO15098.1_12445,AUO15098.1,12445,protein,40
AAK82189.1_11950,AAK82189.1,11950,protein,40
AAK82257.1_11950,AAK82257.1,11950,protein,40
AAK82172.1_11950,AAK82172.1,11950,protein,40
AAU11065.1_11898,AAU11065.1,11898,protein,40
AAU10999.1_11898,AAU10999.1,11898,protein,40
AAK82206.1_11950,AAK82206.1,11950,protein,40
AAK82214.1_11950,AAK82214.1,11950,protein,40
AAU10963.1_11898,AAU10963.1,11898,protein,40
