cluster_id,cluster_size,ictv_lca,ictv_lca_rank,protlen_mean,plddt_mean,ptm_mean,cluster_representative,structure_representative,structure_representative_plddt,top_genbank_name,analysis,annotation,annotation_count,annotation_median_start,annotation_median_stop
1,818,Orthornavirae,Kingdom,466.69,95.29,0.93,CF-AKH10573.1.1.6_7109_relaxed,CF-BAA24003.1.11_10589_relaxed,96.8,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,Pfam,Viral RNA-dependent RNA polymerase,722,22.0,431.0
1,818,Orthornavirae,Kingdom,466.69,95.29,0.93,CF-AKH10573.1.1.6_7109_relaxed,CF-BAA24003.1.11_10589_relaxed,96.8,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,Pfam,"Flavivirus RNA-directed RNA polymerase, fingers and palm domains",49,1.0,381.0
1,818,Orthornavirae,Kingdom,466.69,95.29,0.93,CF-AKH10573.1.1.6_7109_relaxed,CF-BAA24003.1.11_10589_relaxed,96.8,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,Pfam,"Flavivirus RNA-directed RNA polymerase, thumb domain",49,386.0,548.0
1,818,Orthornavirae,Kingdom,466.69,95.29,0.93,CF-AKH10573.1.1.6_7109_relaxed,CF-BAA24003.1.11_10589_relaxed,96.8,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,Pfam,Viral RNA dependent RNA polymerase,47,3.0,488.0
2,511,Picornaviridae,Family,173.56,95.65,0.91,EF-AET72467.1.10_10785_relaxed,CF-AKA64451.1.10_10622_relaxed,97.0,3C cysteine protease (picornain 3C); pfam00548,Pfam,3C cysteine protease (picornain 3C),515,1.0,166.0
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,picornavirus capsid protein,291,29.0,193.0
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,Polyhedrin,101,13.0,244.0
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,-,83,,
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,Circovirus capsid protein,27,5.0,211.0
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,Calicivirus coat protein,5,84.0,231.0
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,Tymovirus coat protein,1,58.0,234.0
3,509,Viruses,Superkingdom,236.39,81.46,0.73,CF-AFP96991.1.2_10938_relaxed,CF-BAS29593.1.4_10461_relaxed,89.4,VP3,Pfam,Picornavirus coat protein,1,5.0,188.0
4,498,Enterovirus,Genus,68.28,63.25,0.24,CF-ACK37378.1.1.1_10649_relaxed,CF-ACK37378.1.1.1_10649_relaxed,72.1,Picornavirus coat protein (VP4); pfam02226,Pfam,Picornavirus coat protein (VP4),498,1.0,68.0
5,497,Enterovirus,Genus,97.98,68.69,0.44,CF-ACJ66736.1.6_10625_relaxed,CF-ACJ66736.1.6_10625_relaxed,84.9,Picornavirus 2B protein; pfam01552,Pfam,Picornavirus 2B protein,497,1.0,98.0
